arch,circuit,script_params,vpr_status,total_runtime,Total_used_logic_block_area,Total_routing_block_area,Min_chan_width,Critical_path_delay,Number_of_CLB_blocks,Number_of_DSP_blocks,Number_of_BRAM_blocks,Unnamed: 12,Total_logic_block_area,Total_used_area,geo_ave_area_arch,geo_ave_delay_arch,area_delay2_model_arch
stratix.xml_1.xml,diffeq1.v,common,success,35.46,3770880.0,5039710.0,92,18.36,26,12,0,,5256340.0,10296050.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,stereovision3.v,common,success,1.5,362765.0,107337.0,30,2.40908,13,0,0,,767780.0,875117.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,ch_intrinsics.v,common,success,2.27,1923590.0,390858.0,42,1.99328,64,0,1,,3957020.0,4347878.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,stereovision0.v,common,success,89.97,16045400.0,6367290.0,98,4.99091,575,0,0,,33959500.0,40326790.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,spree.v,common,success,18.81,2363420.0,1485730.0,104,10.2004,46,1,6,,4089905.0,5575635.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,arm_core.v,common,success,310.87,23001100.0,17305000.0,174,22.4303,622,0,41,,43999700.0,61304700.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,LU8PEEng.v,common,success,1257.06,56110900.0,34017100.0,154,83.4287,1573,8,74,,108493220.0,142510320.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_1.xml,diffeq2.v,common,success,37.43,3575540.0,5039710.0,92,13.2689,19,12,0,,4842920.0,9882630.0,19937176.412779126,8.812545536588292,1548340236.6678522
stratix.xml_7.xml,sha.v,common,success,17.2,3125360.0,1601320.0,98,10.7991,112,0,0,,6614720.0,8216040.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,boundtop.v,common,success,4.48,1281770.0,1072470.0,52,2.88323,41,0,1,,2598640.0,3671110.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,mkDelayWorker32B.v,common,success,154.51,22640300.0,12254600.0,46,7.85907,466,0,70,,39924560.0,52179160.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,mkSMAdapter4B.v,common,success,28.56,5089900.0,3083340.0,86,4.63777,138,0,9,,9744900.0,12828240.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,or1200.v,common,success,120.71,6951450.0,7695860.0,130,10.5341,193,4,4,,13347560.0,21043420.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,bgm.v,common,success,976.23,57009500.0,31700800.0,138,20.3049,1943,11,0,,118164295.0,149865095.0,20592502.422286976,8.587497726995336,1518596504.8024447
stratix.xml_7.xml,stereovision1.v,common,success,425.03,23963900.0,37103300.0,124,6.85889,495,40,0,,41637300.0,78740600.0,20592502.422286976,8.587497726995336,1518596504.8024447
